name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
Beth Flores,https://picsum.photos/262/602,MSc in Cybersecurity,24,Senior Cybersecurity Analyst,Warren-Brooks,Network Security,"Incident Response, Penetration Testing, Firewall Management, Cryptography, Ethical Hacking",1.9
Diane Wise,https://dummyimage.com/683x0,PhD in Computer Science,8,Principal AI Researcher,Cervantes-Stone,Computer Vision,"Algorithm Development, Deep Learning, Natural Language Processing, TensorFlow, Computer Vision",2.6
Jose Butler,https://placekitten.com/900/958,BSc in Computer Science,21,Full Stack Developer,Banks-Martinez,Frontend and Backend Integration,"SQL, JavaScript, Node.js, React, Full Stack Development",4.7
Carolyn Hansen,https://dummyimage.com/722x502,BSc in Cybersecurity,37,Cybersecurity Expert,Clark-Reeves,Incident Response,"Cryptography, Incident Response, Penetration Testing, Firewall Management, Network Security",2.1
Misty Burton,https://dummyimage.com/190x225,BSc in Computer Science,6,Senior Backend Developer,Murillo and Sons,Database Management,"REST APIs, Go, SQL, Java, NoSQL Databases",4.9
William Brown,https://dummyimage.com/110x684,BSc in Computer Science,18,Blockchain Developer,"Wilson, Roberts and Foster",Smart Contracts,"Blockchain Development, Ethereum, Consensus Algorithms, Cryptography, Hyperledger",2.8
Billy Cameron,https://picsum.photos/924/513,BSc in Cybersecurity,4,Cybersecurity Expert,Wright-Lawson,Threat Intelligence,"Cryptography, Ethical Hacking, Network Security, Security Information and Event Management (SIEM), Incident Response",2.1
Tiffany Nelson,https://picsum.photos/99/61,PhD in Computer Science,17,Lead Software Developer,Mason LLC,Database Systems,"Debugging, Software Design, C++, Python, Java",3.1
Bradley Lyons,https://placekitten.com/412/198,BSc in Computer Science,37,Blockchain Developer,"Armstrong, Mendoza and Parks",Cryptography,"Distributed Systems, Blockchain Development, Bitcoin, Solidity, Ethereum",1.6
Michael Sanchez,https://dummyimage.com/748x464,MSc in Data Engineering,26,Senior Data Engineer,Booker-Hernandez,Data Pipeline Development,"Data Pipeline Development, Big Data, Data Warehousing, Python, ETL",3.2
Melissa Ellison,https://dummyimage.com/999x198,MSc in Computer Science,37,Senior Full Stack Developer,Ochoa Ltd,Full Stack Development,"Full Stack Development, SQL, REST APIs, Node.js, Angular",4.5
Mrs. Megan Knapp,https://picsum.photos/133/536,BSc in Business Administration,20,Product Manager,"Watson, Thomas and Morris",User Experience,"Scrum, Market Research, Stakeholder Management, Product Lifecycle Management, Product Roadmap",5.0
Michelle Moran,https://dummyimage.com/123x965,PhD in Computer Science,38,Lead Software Developer,Walker Group,Software Engineering,"Debugging, System Architecture, API Development, Database Management, Software Design",1.1
Jesus Williams,https://picsum.photos/653/895,BSc in Information Technology,19,Principal Frontend Developer,Peterson Ltd,UI/UX Design,"Angular, React, Vue.js, UI/UX Design, CSS",1.6
Emily Jones,https://dummyimage.com/754x451,MSc in Computer Science,38,Full Stack Developer,Parks Inc,Web Development,"Node.js, CSS, React, Angular, HTML",3.8
Lisa Cole,https://placekitten.com/395/451,MSc in Data Engineering,33,Data Engineer,Young-Walter,Data Pipeline Development,"Python, Data Pipeline Development, Hadoop, SQL, Database Management",2.7
Mr. Aaron Hooper,https://dummyimage.com/914x7,BSc in Computer Science,18,Senior Backend Developer,"Brown, Newman and Rosales",Backend Development,"Python, Node.js, Microservices, NoSQL Databases, Java",1.3
Michelle Rivera DVM,https://picsum.photos/711/495,MSc in Cybersecurity,7,Principal Cybersecurity Specialist,Griffith and Sons,Incident Response,"Penetration Testing, Cryptography, Network Security, Firewall Management, Security Information and Event Management (SIEM)",2.2
Kimberly Booker,https://dummyimage.com/911x44,BSc in Computer Science,15,Senior Backend Developer,Charles-Jones,Database Management,"Java, Node.js, NoSQL Databases, REST APIs, Microservices",2.0
Alexandria Farrell,https://dummyimage.com/777x130,MSc in Data Engineering,30,Principal Data Engineer,"Morris, Duke and Maldonado",Data Engineering,"Python, Data Pipeline Development, ETL, Apache Spark, Data Warehousing",4.5
Renee Sheppard,https://placekitten.com/917/753,BSc in Cybersecurity,40,Cybersecurity Expert,Stanley LLC,Threat Intelligence,"Cryptography, Network Security, Firewall Management, Security Information and Event Management (SIEM), Ethical Hacking",1.2
Ryan Barnes,https://placekitten.com/78/239,BSc in Computer Science,1,Senior Mobile App Developer,White-Weber,iOS Development,"React Native, Kotlin, Java, Android Development, Mobile UI Design",1.6
Doris Cordova,https://placekitten.com/615/19,MSc in Cybersecurity,8,Principal Cybersecurity Specialist,"Fitzpatrick, Zuniga and Roberts",Threat Intelligence,"Vulnerability Assessment, Security Information and Event Management (SIEM), Cryptography, Network Security, Incident Response",3.5
Kayla Black,https://dummyimage.com/450x545,MSc in Computer Science,1,Principal Product Manager,Davis PLC,User Experience,"Product Roadmap, Agile, Project Management, Market Research, User Experience",4.8
William Hunter,https://picsum.photos/298/863,BSc in Computer Science,6,Blockchain Developer,"Nguyen, Newton and Peterson",Blockchain Technology,"Ethereum, Consensus Algorithms, Cryptography, Hyperledger, Blockchain Development",4.2
Andrew Blackwell,https://placekitten.com/1009/755,MSc in Computer Science,30,Senior Backend Developer,"Santos, Jones and Gonzalez",Database Management,"Backend Development, Microservices, Node.js, Go, SQL",4.7
Kenneth Nichols,https://picsum.photos/342/15,BSc in Computer Science,31,Senior Frontend Developer,"Prince, Perez and Castillo",Frontend Development,"Vue.js, CSS, HTML, Angular, Responsive Design",5.0
Linda Bryant,https://placekitten.com/55/724,MSc in Computer Science,37,Mobile App Developer,Cook Ltd,Android Development,"Kotlin, Android Development, Mobile UI Design, iOS Development, React Native",2.3
Ethan Gomez,https://dummyimage.com/221x603,MBA,34,Product Manager,Chavez Inc,User Experience,"Product Lifecycle Management, Project Management, Market Research, Product Roadmap, User Experience",3.7
Michele Anderson,https://placekitten.com/333/643,MSc in Computer Science,27,Principal Full Stack Developer,Freeman Inc,API Development,"HTML, CSS, React, SQL, REST APIs",3.7
Cheryl Miller,https://dummyimage.com/724x105,BSc in Information Technology,40,DevOps Engineer,Walker LLC,Infrastructure as Code,"Azure, Ansible, Kubernetes, Terraform, Docker",1.6
Jennifer Stafford,https://placekitten.com/318/835,MSc in Computer Science,29,Principal Software Engineer,Pacheco and Sons,Software Engineering,"System Architecture, C++, Java, Python, Agile Methodologies",1.7
Jessica Alexander,https://dummyimage.com/598x863,MSc in Information Systems,28,Principal Systems Analyst,Hill-House,Process Improvement,"Process Improvement, UML, Technical Documentation, Database Management, Requirements Gathering",2.3
Catherine Smith,https://placekitten.com/269/927,PhD in Computer Science,20,AI Researcher,Gutierrez and Sons,Deep Learning,"PyTorch, Machine Learning, Deep Learning, Reinforcement Learning, Computer Vision",2.2
Tony Shah,https://dummyimage.com/374x117,MSc in Computer Science,10,Senior Product Manager,Morris PLC,User Experience,"User Experience, Project Management, Product Roadmap, Product Lifecycle Management, Stakeholder Management",4.0
Rachel Carson,https://dummyimage.com/176x529,BSc in Computer Science,34,Frontend Developer,Zhang Ltd,Responsive Design,"Vue.js, Angular, UI/UX Design, TypeScript, Responsive Design",1.5
John Miller,https://placekitten.com/999/464,BSc in Computer Science,27,Frontend Developer,Herrera-Gamble,Frontend Development,"Angular, CSS, HTML, React, JavaScript",3.4
Michael Smith,https://dummyimage.com/321x717,MSc in Network Engineering,39,Principal Network Engineer,Douglas-Torres,Network Administration,"TCP/IP, Cisco, Network Security, Wireless Networking, Network Troubleshooting",4.5
Patrick Martinez,https://placekitten.com/43/1011,BSc in Information Technology,22,Senior DevOps Engineer,Parker Ltd,Infrastructure as Code,"AWS, Ansible, Shell Scripting, Terraform, Kubernetes",4.1
James Larson,https://placekitten.com/30/748,MSc in Information Technology,4,DevOps Engineer,Webb Ltd,Infrastructure as Code,"Docker, Linux, Terraform, Azure, AWS",1.1
Rita Lucas,https://dummyimage.com/893x207,MSc in Computer Science,1,Mobile App Developer,Owen and Sons,Android Development,"iOS Development, Cross-Platform Development, Kotlin, React Native, Flutter",3.4
Crystal Moran,https://dummyimage.com/73x782,PhD in Artificial Intelligence,34,Senior AI Scientist,Davis LLC,Artificial Intelligence,"Reinforcement Learning, Deep Learning, Natural Language Processing, Algorithm Development, TensorFlow",2.6
Shane Smith,https://picsum.photos/760/380,MSc in Computer Science,36,Backend Developer,Wu Group,Microservices Architecture,"REST APIs, NoSQL Databases, Java, SQL, Backend Development",1.2
Justin Bowen,https://picsum.photos/5/451,PhD in Artificial Intelligence,40,Principal AI Researcher,Reynolds Inc,Natural Language Processing,"Deep Learning, TensorFlow, Natural Language Processing, Computer Vision, Reinforcement Learning",3.8
Brianna Bonilla,https://dummyimage.com/469x78,BSc in Computer Science,14,Frontend Developer,Roberts Ltd,Responsive Design,"Angular, Vue.js, React, JavaScript, HTML",2.6
Donna Perez,https://placekitten.com/829/306,PhD in Artificial Intelligence,8,AI Researcher,"Tyler, Lee and Price",Natural Language Processing,"Natural Language Processing, Machine Learning, Reinforcement Learning, PyTorch, Deep Learning",2.1
Bryce Le,https://dummyimage.com/673x610,MSc in Cybersecurity,29,Senior Cybersecurity Analyst,Hudson LLC,Threat Intelligence,"Ethical Hacking, Penetration Testing, Security Information and Event Management (SIEM), Network Security, Incident Response",4.1
Jacob Robinson,https://picsum.photos/299/899,PhD in Computer Science,17,Lead Software Developer,"Gray, Alvarado and White",Database Systems,"System Architecture, Database Management, Agile Methodologies, Debugging, Software Design",3.8
Christina Nicholson,https://picsum.photos/777/415,BSc in Computer Science,37,Principal Frontend Developer,Byrd-Carroll,Responsive Design,"CSS, Responsive Design, React, Angular, Vue.js",3.2
John Gibbs,https://picsum.photos/71/44,MSc in Computer Science,6,Full Stack Developer,Wilson LLC,API Development,"React, REST APIs, HTML, CSS, JavaScript",3.8
Brian Andrews,https://placekitten.com/1021/851,BSc in Information Technology,34,Frontend Developer,Ferguson Ltd,Frontend Development,"JavaScript, TypeScript, React, Vue.js, CSS",4.0
Pamela Miller,https://picsum.photos/837/18,BSc in Computer Science,19,Frontend Developer,Franklin and Sons,Frontend Development,"JavaScript, CSS, HTML, Responsive Design, UI/UX Design",3.8
Jacob Moore II,https://dummyimage.com/103x408,BSc in Information Technology,5,Senior Frontend Developer,Small-Miller,Responsive Design,"Angular, JavaScript, CSS, HTML, UI/UX Design",1.6
Judy Moore,https://dummyimage.com/683x272,MSc in Computer Science,40,Principal Full Stack Developer,"Collins, Simpson and Torres",Web Development,"REST APIs, CSS, HTML, Angular, JavaScript",3.9
Kim Bell,https://placekitten.com/896/471,PhD in Computer Science,19,AI Researcher,Gates Ltd,Computer Vision,"Algorithm Development, Python, Deep Learning, Computer Vision, Natural Language Processing",3.3
Amanda Schroeder,https://picsum.photos/750/49,PhD in Data Science,13,Principal Data Scientist,Robertson-Hammond,Data Science,"Data Visualization, SQL, Statistics, Natural Language Processing, Big Data",1.9
Kimberly Wu,https://dummyimage.com/89x147,BSc in Computer Science,14,Principal Full Stack Developer,Berry PLC,Full Stack Development,"React, CSS, JavaScript, REST APIs, Angular",2.4
John Nichols,https://dummyimage.com/484x985,MSc in Computer Science,26,Product Manager,Williams-Dorsey,Product Management,"Agile, Product Lifecycle Management, Scrum, User Experience, Project Management",1.1
Daniel Henderson,https://picsum.photos/438/920,PhD in Artificial Intelligence,36,AI Researcher,Ashley LLC,Computer Vision,"Deep Learning, Reinforcement Learning, Computer Vision, TensorFlow, Natural Language Processing",4.8
Matthew Hooper,https://picsum.photos/475/230,MSc in Cybersecurity,35,Senior Cybersecurity Analyst,Ruiz Inc,Threat Intelligence,"Incident Response, Ethical Hacking, Firewall Management, Penetration Testing, Network Security",4.0
Paul Dennis,https://picsum.photos/111/787,MSc in Information Technology,9,DevOps Engineer,Diaz Inc,Cloud Computing,"Kubernetes, AWS, Azure, Linux, Ansible",2.4
Andrew Tucker,https://placekitten.com/643/699,BSc in Information Technology,3,Senior Frontend Developer,Myers Inc,Frontend Development,"CSS, HTML, JavaScript, TypeScript, React",4.2
Misty Smith,https://dummyimage.com/678x337,MSc in Computer Science,19,Senior Product Manager,Mathis-Oconnor,Agile Development,"Market Research, Product Lifecycle Management, Project Management, Agile, User Experience",4.2
Sarah Garrett,https://dummyimage.com/631x655,MSc in Information Systems,35,Systems Analyst,Jones Inc,System Integration,"Technical Documentation, Business Analysis, UML, System Integration, Process Improvement",4.2
Brad Smith,https://placekitten.com/848/723,BSc in Information Technology,30,Principal Frontend Developer,"Holland, Pratt and Barnes",Web Development,"TypeScript, CSS, Angular, Responsive Design, JavaScript",1.2
Cindy Baker,https://placekitten.com/235/285,MSc in Computer Science,27,Product Manager,Jordan-Hurley,Agile Development,"Agile, Market Research, Product Roadmap, Stakeholder Management, Scrum",3.0
Anthony Mueller,https://dummyimage.com/233x826,MSc in Computer Science,18,Senior Full Stack Developer,"Miller, Roberson and Valdez",API Development,"JavaScript, SQL, Angular, Node.js, HTML",4.6
Crystal Roach DDS,https://picsum.photos/746/551,PhD in Artificial Intelligence,5,AI Researcher,Smith and Sons,Deep Learning,"Algorithm Development, Natural Language Processing, Reinforcement Learning, Machine Learning, Computer Vision",4.9
Aaron Taylor,https://dummyimage.com/162x883,MSc in Cybersecurity,15,Principal Cybersecurity Specialist,Price-Walker,Threat Intelligence,"Security Information and Event Management (SIEM), Firewall Management, Ethical Hacking, Network Security, Cryptography",1.8
Matthew Kline,https://dummyimage.com/360x91,MSc in Data Engineering,37,Principal Data Engineer,Obrien-Pena,Data Engineering,"Python, Hadoop, Database Management, ETL, Data Warehousing",3.6
Reginald Delgado,https://picsum.photos/1008/940,MSc in Computer Science,5,Principal Mobile App Developer,Manning Inc,Cross-Platform Development,"Cross-Platform Development, Swift, iOS Development, Kotlin, Java",2.0
Ashley Campos,https://placekitten.com/657/959,MSc in Computer Science,11,Senior Mobile App Developer,"Garcia, Contreras and Hill",iOS Development,"Mobile UI Design, Java, Kotlin, Android Development, React Native",2.0
